Nombre,Altitud (m),Ubicación,Tipo,Estado,Año de In,Área Lent,geometry
ALMA,5000,"Llano de Chajnantor, Antofagasta",Radio,Operativo,2003,41001.06121734071,POINT (-67.7546 -23.0221)
APEX,5100,"Llano de Chajnantor, Antofagasta",Radio,Operativo,2003,113.09733552923257,POINT (-67.7533 -23.005599999999998)
ACT,5190,"Cerro Toco, Antofagasta",Radio,Operativo,2007,28.274333882308134,POINT (-67.7875 -22.9583)
Paranal (VLT),2635,"Cerro Paranal, Antofagasta",Óptico/Infrarrojo,Operativo,1991,211.23836840423655,POINT (-70.4042 -24.627199999999995)
ELT (en construcción),3046,"Cerro Armazones, Antofagasta",Óptico/Infrarrojo,En construcción,2014,1194.690595328151,POINT (-70.19 -24.589500000000005)
La Silla,2400,"Cerro La Silla, Coquimbo",Óptico,Operativo,1964,10.179015632055895,POINT (-70.7347 -29.258100000000006)
Cerro Tololo (CTIO),2200,"Cerro Tololo, Coquimbo",Óptico,Operativo,1963,12.566370614359172,POINT (-70.8061 -30.169200000000004)
Gemini Sur,2737,"Cerro Pachón, Coquimbo",Óptico/Infrarrojo,Operativo,1994,51.51838900400386,POINT (-70.7366 -30.240699999999997)
Vera C. Rubin Observatory,2663,"Cerro Pachón, Coquimbo",Óptico,En construcción,2014,55.41985163906199,POINT (-70.7492 -30.24440000000001)
Magellan (Las Campanas),2400,"Cerro Las Campanas, Atacama",Óptico,Operativo,1999,66.46813142637272,POINT (-70.6925 -29.01440000000001)
Giant Magellan Telescope (GMT),2514,"Cerro Las Campanas, Atacama",Óptico/Infrarrojo,En construcción,2012,506.7074790972215,POINT (-70.6836 -29.0483)
Cerro El Roble Observatory,2222,"Cerro El Roble, Valparaíso",Óptico,Operativo,1967,0.2827433388230814,POINT (-71.2333 -32.95)
Observatorio UC,1450,"Lo Barnechea, Santiago",Óptico,Operativo,2000,0.196349540849362,POINT (-70.5344 -33.26919999999999)
Very Large Array (VLA),2124,Nuevo México-USA,Radio,Operativo,1980,1256.6370614359173,POINT(-107.6184 34.0788)
Green Bank Telescope (GBT),824,Virginia Occidental-USA,Radio,Operativo,2000,7853.981633974483,POINT(-79.8399 38.4331)
James Clerk Maxwell Telescope (JCMT),4092,Mauna Kea-Hawái-USA,Radio,Operativo,1987,78.53981633974483,POINT(-155.4762 19.8226)
Submillimeter Array (SMA),4080,Mauna Kea-Hawái-USA,Radio,Operativo,2002,56.54866776461628,POINT(-155.4758 19.8243)
Keck Observatory,4145,Mauna Kea-Hawái-USA,Óptico/Infrarrojo,Operativo,1993,76.96902001294993,POINT(-155.4783 19.8264)
Subaru Telescope,4139,Mauna Kea-Hawái-USA,Óptico/Infrarrojo,Operativo,1999,53.40707511102649,POINT(-155.4765 19.8256)
